StatusEffectList|0126
StatusEffectList2|0160
BossStatusEffectList|ABCD
Ability1|03B1
Ability8|01E5
Ability16|02D5
Ability24|0297
Ability32|00E1
ActorCast|013A
AddStatusEffect|018D
ActorControl142|012E
ActorControl143|0303
ActorControl144|01D2
UpdateHpMpTp|03C8
PlayerSpawn|00F1
NpcSpawn|00AA
NpcSpawn2|ABCD
ActorControl|012E
ActorMove|0195
ActorSetPos|03C6
ActorGauge|03C0
PresetWaymark|0104
Waymark|02DC
ObjectSpawn|0306
WeatherChange|03dc
MapEffect|0247
