2,0,13637,179,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19014409516066930,0,,
2,1,23167,211,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19014409516066930,0,,
2,2,38956,442,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,19014409516066930,0,,
0,3,6141,540,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,19014409516066930,0,,
0,4,12669,34,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19014409516066930,0,,
1,5,44162,300,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,19014409516066930,0,,
2,6,44163,194,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,19014409516066930,0,,
1,7,44165,484,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,19014409516066930,0,,
0,8,44166,635,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,19014409516066930,0,,
0,9,36116,244,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,19014409516066930,0,,
0,10,27960,77,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,19014409516066930,0,,
1,11,44178,445,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,19014409516066930,0,,
2,12,39876,447,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,19014409516066930,0,,
0,13,38929,133,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,19014409516066930,0,,
3,14,38263,228,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,19014409516066930,0,,
1,15,38264,99,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,19014409516066930,0,,
1,16,36070,97,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,19014409516066930,0,,
0,17,36053,208,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,19014409516066930,0,,
1,18,30482,56,0,30000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18,19014409516066930,0,,
0,19,38960,1,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,19014409516066930,0,,
