11/01/2023 08:45:59;213296756;213296756
11/01/2023 11:01:50;213296677;-79
11/01/2023 11:04:10;213297677;1000
11/01/2023 18:03:23;213297586;-91
11/01/2023 18:12:38;213299586;2000
11/01/2023 18:18:45;213300586;1000
11/01/2023 19:07:18;213300505;-81
11/01/2023 20:15:33;213300424;-81
11/01/2023 21:01:49;213300324;-100
11/01/2023 21:02:02;213302324;2000
11/01/2023 22:54:07;213852324;550000
11/01/2023 23:07:46;213852254;-70
11/01/2023 23:37:44;214852219;999965
11/01/2023 23:37:51;214952219;100000
12/01/2023 00:20:53;215852219;900000
12/01/2023 00:21:00;216852219;1000000
12/01/2023 00:23:11;216852105;-114
12/01/2023 00:40:06;216871305;19200
12/01/2023 00:48:05;216887625;16320
12/01/2023 00:55:42;216899625;12000
12/01/2023 01:42:28;216899575;-50
12/01/2023 01:43:42;217299575;400000
12/01/2023 03:24:09;217299461;-114
12/01/2023 04:00:59;217299306;-155
12/01/2023 15:24:21;217226957;-72349
12/01/2023 15:24:59;216937561;-289396
12/01/2023 16:37:36;216937482;-79
12/01/2023 16:49:51;216937391;-91
13/01/2023 07:41:50;216937312;-79
13/01/2023 07:48:42;216937214;-98
13/01/2023 08:21:07;216937164;-50
13/01/2023 18:51:48;216937147;-17
13/01/2023 20:18:20;216937047;-100
13/01/2023 21:01:06;216936977;-70
13/01/2023 21:02:35;216936907;-70
13/01/2023 21:03:45;216936837;-70
13/01/2023 21:05:11;216936767;-70
13/01/2023 21:08:08;216936628;-139
13/01/2023 21:10:35;216936528;-100
13/01/2023 21:15:31;216936498;-30
13/01/2023 21:21:25;216936419;-79
13/01/2023 21:34:48;216936338;-81
13/01/2023 21:46:51;216936259;-79
13/01/2023 21:51:08;216936129;-130
14/01/2023 09:58:09;216936029;-100
14/01/2023 10:29:59;216935950;-79
14/01/2023 11:26:42;216935851;-99
14/01/2023 14:59:29;216935791;-60
15/01/2023 07:35:04;216935712;-79
15/01/2023 08:33:26;216935633;-79
